"","userID","artistID","weight","rating"
"1",2,51,13883,5.5
"2",2,52,11690,4.6
"3",2,53,11351,4.5
"4",2,54,10300,4.1
"5",2,55,8983,3.6
"6",2,56,6152,2.4
"7",2,57,5955,2.3
"8",2,58,4616,1.8
"9",2,59,4337,1.7
"10",2,60,4147,1.6
"11",2,61,3923,1.5
"12",2,62,3782,1.5
"13",2,63,3735,1.5
"14",2,64,3644,1.4
"15",2,65,3579,1.4
"16",2,66,3312,1.3
"17",2,67,3301,1.3
"18",2,68,2927,1.1
"19",2,69,2720,1.1
"20",2,70,2686,1
"21",2,71,2654,1
"22",2,72,2619,1
"23",2,73,2584,1
"24",2,74,2547,1
"25",2,75,2397,0.9
"26",2,76,2382,0.9
"27",2,77,2120,0.8
"28",2,78,2119,0.8
"29",2,79,1990,0.8
"30",2,80,1972,0.8
"31",2,81,1948,0.8
"32",2,82,1868,0.7
"33",2,83,1792,0.7
"34",2,84,1740,0.7
"35",2,85,1638,0.6
"36",2,86,1594,0.6
"37",2,87,1559,0.6
"38",2,88,1553,0.6
"39",2,89,1519,0.6
"40",2,90,1471,0.6
"41",2,91,1438,0.5
"42",2,92,1411,0.5
"43",2,93,1407,0.5
"44",2,94,1373,0.5
"45",2,95,1363,0.5
"46",2,96,1342,0.5
"47",2,97,1337,0.5
"48",2,98,1332,0.5
"49",2,99,1330,0.5
"50",2,100,1315,0.5
"51",3,101,13176,5.5
"52",3,102,662,0.7
"53",3,103,493,0.7
"54",3,104,431,0.6
"55",3,105,403,0.6
"56",3,106,354,0.6
"57",3,107,269,0.6
"58",3,108,236,0.6
"59",3,109,215,0.6
"60",3,110,215,0.6
"61",3,111,212,0.6
"62",3,112,193,0.5
"63",3,113,187,0.5
"64",3,114,167,0.5
"65",3,115,163,0.5
"66",3,116,154,0.5
"67",3,117,151,0.5
"68",3,118,142,0.5
"69",3,119,142,0.5
"70",3,120,125,0.5
"71",3,121,111,0.5
"72",3,122,108,0.5
"73",3,123,104,0.5
"74",3,124,99,0.5
"75",3,125,98,0.5
"76",3,126,94,0.5
"77",3,127,89,0.5
